,평균기온:평균,평균기온:표준편차,최고기온,최저기온
5월 24일,19.6,2.7,24.9,15
5월 25일,19.6,2.8,24.9,15
5월 26일,19.6,2.7,24.9,15
5월 27일,19.9,2.3,25.2,15.3
5월 28일,20.1,2.4,25.4,15.5
5월 29일,20.4,2.4,25.8,15.6
5월 30일,20.7,2,26.1,15.9
5월 31일,20.9,2,26.3,16.1
6월 1일,20.9,1.9,26.3,16.2
6월 2일,21.1,2.5,26.5,16.4
6월 3일,21.3,2.7,26.6,16.7
6월 4일,21.5,2.4,26.8,17
6월 5일,21.7,2.8,26.9,17.2
6월 6일,21.9,2.1,27.1,17.5
6월 7일,22.1,2.3,27.3,17.7
6월 8일,22.2,2.2,27.4,17.9
6월 9일,22.3,2.2,27.4,18.1
6월 10일,22.3,2.7,27.4,18.2
6월 11일,22.4,2.1,27.4,18.2
6월 12일,22.4,1.9,27.5,18.4
6월 13일,22.6,1.8,27.6,18.4
6월 14일,22.7,1.7,27.9,18.5
6월 15일,23,2,28.1,18.7
6월 16일,23.1,2,28.2,18.9
6월 17일,23.1,1.8,28.2,19
6월 18일,23.2,2.3,28.2,19.1
6월 19일,23.2,2,28.2,19.3
6월 20일,23.3,1.9,28.2,19.4
6월 21일,23.3,1.8,28.2,19.5
6월 22일,23.3,1.6,28,19.5
6월 23일,23.4,2.1,28,19.6
6월 24일,23.3,2.6,27.8,19.6
6월 25일,23.3,2.1,27.6,19.7
6월 26일,23.5,1.6,27.8,19.9
6월 27일,23.6,1.9,27.9,20.2
6월 28일,23.7,1.6,27.9,20.3
6월 29일,23.7,2.1,27.8,20.5
6월 30일,23.8,2,27.8,20.7
7월 1일,23.8,1.7,27.5,20.8
7월 2일,23.9,1.6,27.7,21
7월 3일,24.1,1.7,28,21
7월 4일,24.4,1.9,28.3,21.1
7월 5일,24.5,1.8,28.6,21.2
7월 6일,24.7,2.3,28.9,21.3
7월 7일,24.7,1.7,28.9,21.3
7월 8일,24.8,1.7,28.8,21.5
7월 9일,24.7,2,28.6,21.5
7월 10일,24.7,2.1,28.4,21.5
7월 11일,24.7,2.4,28.3,21.6
7월 12일,24.8,1.7,28.3,21.8
7월 13일,24.8,2.1,28.3,21.9
7월 14일,24.7,1.9,28.3,21.9
7월 15일,24.7,2,28.3,21.9
7월 16일,24.8,2.3,28.5,22
7월 17일,24.9,2.3,28.6,22
7월 18일,25.2,2.3,29,22.1
7월 19일,25.6,2.7,29.3,22.5
7월 20일,25.9,2.4,29.7,22.8
7월 21일,26,2.2,29.7,23
7월 22일,26.1,2.3,29.7,23.2
7월 23일,26.2,2.7,29.7,23.4
7월 24일,26.2,2.6,29.8,23.3
7월 25일,26.2,2.4,29.8,23.4
7월 26일,26.3,2.6,29.8,23.5
7월 27일,26.5,2.5,30.1,23.6
7월 28일,26.7,2.3,30.2,23.8
7월 29일,26.8,2,30.3,24
7월 30일,27,1.7,30.5,24.2
7월 31일,27.1,1.8,30.7,24.3
8월 1일,27.1,2.1,30.9,24.3
8월 2일,27.1,2.7,30.9,24.3
8월 3일,27.3,2.6,31.1,24.2
8월 4일,27.2,2.5,31.1,24.2
8월 5일,27.1,2.3,31,24.1
8월 6일,27.1,2.7,31,24
8월 7일,27.2,2.7,31.1,24.1
8월 8일,27,2.2,30.9,24
8월 9일,27,1.8,30.9,23.9
8월 10일,26.9,2.4,30.9,23.8
8월 11일,26.9,2.4,30.9,23.8
8월 12일,26.9,2.4,30.8,23.8
8월 13일,26.8,2.3,30.7,23.7
