"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240901","4호선","사당","17055","16171","20240904",""
"20240901","4호선","남태령","835","554","20240904",""
"20240901","5호선","방화","3885","3884","20240904",""
"20240901","5호선","개화산","3271","3325","20240904",""
"20240901","5호선","김포공항","10436","6805","20240904",""
"20240901","5호선","송정","3821","3662","20240904",""
"20240901","5호선","마곡","4301","4543","20240904",""
"20240901","5호선","발산","11067","11439","20240904",""
"20240901","5호선","우장산","7608","7965","20240904",""
"20240901","5호선","화곡","14962","14301","20240904",""
"20240901","5호선","까치산","16132","15394","20240904",""
"20240901","5호선","신정(은행정)","6628","6044","20240904",""
"20240901","5호선","목동","8548","8908","20240904",""
"20240901","5호선","오목교(목동운동장앞)","14303","14459","20240904",""
"20240901","5호선","양평","3136","3110","20240904",""
"20240901","5호선","영등포구청","1943","1885","20240904",""
"20240901","5호선","영등포시장","6790","7035","20240904",""
"20240901","5호선","신길","2797","2946","20240904",""
"20240901","5호선","여의도","9948","10426","20240904",""
"20240901","5호선","여의나루","13614","15065","20240904",""
"20240901","5호선","마포","5901","6016","20240904",""
"20240901","5호선","공덕","5774","5831","20240904",""
"20240901","5호선","애오개","2956","2971","20240904",""
"20240901","5호선","충정로(경기대입구)","1718","1651","20240904",""
"20240901","5호선","서대문","7219","7241","20240904",""
"20240901","5호선","광화문(세종문화회관)","13652","13924","20240904",""
"20240901","5호선","종로3가","10293","10182","20240904",""
"20240901","5호선","을지로4가","2301","2493","20240904",""
"20240901","5호선","동대문역사문화공원(DDP)","1293","1370","20240904",""
"20240901","5호선","청구","1972","1959","20240904",""
"20240901","5호선","신금호","3342","3765","20240904",""
"20240901","5호선","행당","4255","3803","20240904",""
"20240901","5호선","왕십리(성동구청)","2853","3618","20240904",""
"20240901","5호선","마장","3154","3024","20240904",""
"20240901","5호선","답십리","8228","7495","20240904",""
"20240901","5호선","장한평","9414","9315","20240904",""
"20240901","5호선","군자(능동)","6866","7525","20240904",""
"20240901","5호선","아차산(어린이대공원후문)","10298","10043","20240904",""
"20240901","5호선","광나루(장신대)","7324","7298","20240904",""
"20240901","5호선","천호(풍납토성)","13706","12985","20240904",""
"20240901","5호선","강동","10207","10199","20240904",""
"20240901","5호선","길동","4849","4893","20240904",""
"20240901","5호선","굽은다리(강동구민회관앞)","6432","6130","20240904",""
"20240901","5호선","명일","5409","5358","20240904",""
"20240901","5호선","고덕","5242","5211","20240904",""
"20240901","5호선","상일동","6944","7002","20240904",""
"20240901","5호선","둔촌동","5585","5463","20240904",""
"20240901","5호선","올림픽공원(한국체대)","5787","6248","20240904",""
"20240901","5호선","방이","4734","4611","20240904",""
"20240901","5호선","오금","1646","1582","20240904",""
"20240901","5호선","개롱","3357","3710","20240904",""
"20240901","5호선","거여","5061","4898","20240904",""
"20240901","5호선","마천","3946","4026","20240904",""
"20240901","5호선","강일","3134","2914","20240904",""
"20240901","5호선","미사","10560","10751","20240904",""
"20240901","5호선","하남풍산","3083","2875","20240904",""
"20240901","5호선","하남시청(덕풍·신장)","4908","4598","20240904",""
"20240901","5호선","하남검단산","5007","4883","20240904",""
"20240901","6호선","응암","10079","10202","20240904",""
"20240901","6호선","역촌","2255","2682","20240904",""
"20240901","6호선","불광","3215","2883","20240904",""
"20240901","6호선","독바위","1627","1906","20240904",""
"20240901","6호선","연신내","8","0","20240904",""
"20240901","6호선","구산","4628","3611","20240904",""
"20240901","6호선","새절(신사)","6875","6659","20240904",""
"20240901","6호선","증산(명지대앞)","5672","5862","20240904",""
"20240901","6호선","디지털미디어시티","6121","6461","20240904",""
"20240901","6호선","월드컵경기장(성산)","4489","4703","20240904",""
"20240901","6호선","마포구청","7675","7054","20240904",""
"20240901","6호선","망원","11075","11855","20240904",""
"20240901","6호선","합정","10138","9514","20240904",""
"20240901","6호선","상수","8143","8647","20240904",""
"20240901","6호선","광흥창(서강)","4788","4676","20240904",""
"20240901","6호선","대흥(서강대앞)","4912","5134","20240904",""
"20240901","6호선","공덕","8450","8270","20240904",""
"20240901","6호선","효창공원앞","3733","3212","20240904",""
"20240901","6호선","삼각지","5651","4394","20240904",""
"20240901","6호선","녹사평(용산구청)","4079","4073","20240904",""
"20240901","6호선","이태원","10891","9549","20240904",""
"20240901","6호선","한강진","7350","8759","20240904",""
"20240901","6호선","버티고개","1183","1218","20240904",""
"20240901","6호선","약수","2150","2034","20240904",""
"20240901","6호선","청구","1938","1881","20240904",""
"20240901","6호선","신당","4991","5676","20240904",""
"20240901","6호선","동묘앞","7497","7231","20240904",""
"20240901","6호선","창신","1794","1663","20240904",""
"20240901","6호선","보문","4632","4492","20240904",""
"20240901","6호선","안암(고대병원앞)","6050","6692","20240904",""
"20240901","6호선","고려대(종암)","4597","4719","20240904",""
"20240901","6호선","월곡(동덕여대)","5965","5898","20240904",""
"20240901","6호선","상월곡(한국과학기술연구원)","3546","3333","20240904",""
"20240901","6호선","돌곶이","6357","5993","20240904",""
"20240901","6호선","석계","6935","7294","20240904",""
"20240901","6호선","태릉입구","3428","3766","20240904",""
"20240901","6호선","화랑대(서울여대입구)","5446","4766","20240904",""
"20240901","6호선","봉화산(서울의료원)","4342","4126","20240904",""
"20240901","7호선","장암","1648","1090","20240904",""
"20240901","7호선","도봉산","5207","7334","20240904",""
"20240901","7호선","수락산","8606","8493","20240904",""
"20240901","7호선","마들","6522","6154","20240904",""
"20240901","7호선","노원","12539","12084","20240904",""
"20240901","7호선","중계","8025","7763","20240904",""
"20240901","7호선","하계","10076","9408","20240904",""
"20240901","7호선","공릉(서울과학기술대)","6981","7050","20240904",""
"20240901","7호선","태릉입구","5154","4972","20240904",""
"20240901","7호선","먹골","5776","5723","20240904",""
"20240901","7호선","중화","5898","5685","20240904",""
"20240901","7호선","상봉","10588","10271","20240904",""
"20240901","7호선","면목","8049","7536","20240904",""
"20240901","7호선","사가정","9119","9123","20240904",""
"20240901","7호선","용마산(용마폭포공원)","3233","3545","20240904",""
"20240901","7호선","중곡","5651","5462","20240904",""
"20240901","7호선","군자(능동)","8616","6896","20240904",""
"20240901","7호선","어린이대공원(세종대)","8801","9153","20240904",""
"20240901","7호선","건대입구","8303","8767","20240904",""
"20240901","7호선","자양(뚝섬한강공원)","8850","8108","20240904",""
"20240901","7호선","강남구청","6116","6811","20240904",""
"20240901","7호선","학동","7651","8037","20240904",""
"20240901","7호선","논현","6462","6702","20240904",""
"20240901","7호선","반포","3429","3332","20240904",""
"20240901","7호선","고속터미널","15387","9549","20240904",""
"20240901","7호선","내방","5705","5856","20240904",""
"20240901","7호선","이수","9177","8668","20240904",""
"20240901","7호선","남성","6244","6263","20240904",""
"20240901","7호선","숭실대입구(살피재)","6687","7245","20240904",""
"20240901","7호선","상도","6393","6546","20240904",""
"20240901","7호선","장승배기","4854","4937","20240904",""
"20240901","7호선","신대방삼거리","7932","8144","20240904",""
"20240901","7호선","보라매","3840","3878","20240904",""
"20240901","7호선","신풍","6390","5909","20240904",""
"20240901","7호선","대림(구로구청)","9015","8516","20240904",""
"20240901","7호선","남구로","7114","6904","20240904",""
"20240901","7호선","가산디지털단지","9439","9161","20240904",""
"20240901","7호선","철산","10893","10841","20240904",""
"20240901","7호선","광명사거리","12123","12235","20240904",""
"20240901","7호선","천왕","5473","5325","20240904",""
"20240901","7호선","온수(성공회대입구)","4370","4399","20240904",""
"20240901","8호선","암사역사공원","2870","2759","20240904",""
"20240901","8호선","암사","9315","8942","20240904",""
"20240901","8호선","천호(풍납토성)","10786","12078","20240904",""
"20240901","8호선","강동구청","5354","5392","20240904",""
"20240901","8호선","몽촌토성(평화의문)","4084","4024","20240904",""
"20240901","8호선","잠실(송파구청)","14087","15770","20240904",""
"20240901","8호선","석촌","5140","6235","20240904",""
"20240901","8호선","송파","4626","4664","20240904",""
"20240901","8호선","가락시장","3826","4687","20240904",""
"20240901","8호선","문정","7181","7458","20240904",""
"20240901","8호선","장지","9626","9234","20240904",""
"20240901","8호선","복정","5565","5078","20240904",""
"20240901","8호선","산성","3476","3749","20240904",""
"20240901","8호선","남한산성입구(성남법원.검찰청)","6821","6239","20240904",""
"20240901","8호선","단대오거리","6222","6122","20240904",""
"20240901","8호선","신흥","3165","3292","20240904",""
"20240901","8호선","수진","3795","3559","20240904",""
"20240901","8호선","모란","3050","2508","20240904",""
"20240901","8호선","남위례","3530","3578","20240904",""
