"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20241101","1호선","종로3가","29749","27009","20241104",""
"20241101","1호선","종로5가","25606","25552","20241104",""
"20241101","1호선","동대문","13092","11921","20241104",""
"20241101","1호선","신설동","16566","15745","20241104",""
"20241101","1호선","제기동","19335","19469","20241104",""
"20241101","1호선","청량리(서울시립대입구)","25522","24919","20241104",""
"20241101","1호선","동묘앞","10185","10339","20241104",""
"20241101","2호선","시청","31998","30793","20241104",""
"20241101","2호선","을지로입구","57045","58352","20241104",""
"20241101","2호선","을지로3가","29179","30189","20241104",""
"20241101","2호선","을지로4가","16142","16147","20241104",""
"20241101","경의선","서울역","5778","7179","20241104",""
"20241101","2호선","동대문역사문화공원(DDP)","16799","18660","20241104",""
"20241101","2호선","신당","17272","18037","20241104",""
"20241101","2호선","상왕십리","16650","16019","20241104",""
"20241101","2호선","왕십리(성동구청)","18794","16684","20241104",""
"20241101","2호선","한양대","14225","15428","20241104",""
"20241101","2호선","뚝섬","29419","30559","20241104",""
"20241101","2호선","성수","53121","58204","20241104",""
"20241101","2호선","건대입구","42614","45736","20241104",""
"20241101","2호선","구의(광진구청)","29019","27722","20241104",""
"20241101","2호선","강변(동서울터미널)","33430","32047","20241104",""
"20241101","2호선","잠실나루","17728","16827","20241104",""
"20241101","2호선","잠실(송파구청)","89025","89032","20241104",""
"20241101","2호선","잠실새내","27011","26710","20241104",""
"20241101","2호선","종합운동장","9189","10008","20241104",""
"20241101","2호선","삼성(무역센터)","62038","62460","20241104",""
"20241101","2호선","선릉","64922","57036","20241104",""
"20241101","2호선","역삼","56354","64093","20241104",""
"20241101","2호선","강남","90343","90517","20241104",""
"20241101","2호선","교대(법원.검찰청)","35666","42603","20241104",""
"20241101","2호선","서초","23935","23799","20241104",""
"20241101","2호선","방배","17760","18488","20241104",""
"20241101","2호선","사당","47451","51885","20241104",""
"20241101","2호선","낙성대(강감찬)","31762","29450","20241104",""
"20241101","2호선","서울대입구(관악구청)","53441","50435","20241104",""
"20241101","2호선","봉천","27454","24898","20241104",""
"20241101","2호선","신림","62348","60877","20241104",""
"20241101","2호선","신대방","28746","27175","20241104",""
"20241101","2호선","구로디지털단지","65424","64669","20241104",""
"20241101","2호선","대림(구로구청)","27389","27809","20241104",""
"20241101","2호선","신도림","58484","57873","20241104",""
"20241101","2호선","문래","26788","28117","20241104",""
"20241101","2호선","영등포구청","25796","26412","20241104",""
"20241101","2호선","당산","21804","25296","20241104",""
"20241101","2호선","합정","38680","42962","20241104",""
"20241101","2호선","홍대입구","82980","94276","20241104",""
"20241101","2호선","신촌","43973","45535","20241104",""
"20241101","2호선","이대","20597","21815","20241104",""
"20241101","2호선","아현","12907","11861","20241104",""
"20241101","2호선","충정로(경기대입구)","11403","12250","20241104",""
"20241101","2호선","용답","3544","3500","20241104",""
"20241101","2호선","신답","1909","2037","20241104",""
"20241101","2호선","신설동","4126","4001","20241104",""
"20241101","2호선","도림천","1408","1519","20241104",""
"20241101","2호선","양천구청","7859","8207","20241104",""
"20241101","2호선","신정네거리","11534","11941","20241104",""
"20241101","2호선","용두(동대문구청)","2976","2872","20241104",""
"20241101","3호선","지축","8761","8786","20241104",""
"20241101","3호선","구파발","25618","24277","20241104",""
"20241101","3호선","연신내","38757","37148","20241104",""
"20241101","3호선","불광","18901","20144","20241104",""
"20241101","3호선","녹번","18083","16342","20241104",""
"20241101","3호선","홍제","20706","19389","20241104",""
"20241101","3호선","무악재","4989","4857","20241104",""
"20241101","3호선","독립문","9227","9413","20241104",""
"20241101","3호선","경복궁(정부서울청사)","31246","31742","20241104",""
"20241101","3호선","안국","33884","35422","20241104",""
"20241101","3호선","종로3가","13811","15558","20241104",""
"20241101","3호선","을지로3가","14081","14050","20241104",""
"20241101","3호선","충무로","12","0","20241104",""
"20241101","3호선","동대입구","12586","13893","20241104",""
"20241101","3호선","약수","15045","14822","20241104",""
"20241101","3호선","금호","9331","8644","20241104",""
"20241101","3호선","옥수","10487","10582","20241104",""
"20241101","3호선","압구정","34848","37482","20241104",""
"20241101","3호선","신사","31556","34234","20241104",""
"20241101","3호선","잠원","6296","5839","20241104",""
"20241101","3호선","고속터미널","55938","57529","20241104",""
"20241101","3호선","교대(법원.검찰청)","19557","11613","20241104",""
"20241101","3호선","남부터미널(예술의전당)","36125","36998","20241104",""
"20241101","3호선","양재(서초구청)","43793","45967","20241104",""
"20241101","3호선","매봉","14804","14205","20241104",""
"20241101","3호선","도곡","6998","6888","20241104",""
