"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241210","경부선","당정","7070","6681","20241213"
"20241210","일산선","대곡","3616","2896","20241213"
"20241210","과천선","대공원","4056","4093","20241213"
"20241210","7호선","대림(구로구청)","9371","9535","20241213"
"20241210","2호선","대림(구로구청)","26753","26913","20241213"
"20241210","분당선","대모산입구","6263","6087","20241213"
"20241210","경부선","대방","11149","12757","20241213"
"20241210","신림선","대방","3459","2736","20241213"
"20241210","경춘선","대성리","441","374","20241213"
"20241210","안산선","대야미","5378","4851","20241213"
"20241210","3호선","대청","12379","11603","20241213"
"20241210","3호선","대치","13196","13287","20241213"
"20241210","일산선","대화","15073","11632","20241213"
"20241210","6호선","대흥(서강대앞)","11326","11979","20241213"
"20241210","경원선","덕계","6269","5695","20241213"
"20241210","중앙선","덕소","5617","5665","20241213"
"20241210","경원선","덕정","6766","6389","20241213"
"20241210","3호선","도곡","7572","7626","20241213"
"20241210","분당선","도곡","8641","9000","20241213"
"20241210","중앙선","도농","10253","8875","20241213"
"20241210","2호선","도림천","1491","1603","20241213"
"20241210","경원선","도봉","6071","5915","20241213"
"20241210","7호선","도봉산","10643","12457","20241213"
"20241210","경원선","도봉산","8261","5219","20241213"
"20241210","중앙선","도심","2475","1835","20241213"
"20241210","경인선","도원","3297","3344","20241213"
"20241210","경인선","도화","4408","4078","20241213"
"20241210","3호선","독립문","9216","9589","20241213"
"20241210","6호선","독바위","3120","3185","20241213"
"20241210","경부선","독산","18574","18702","20241213"
"20241210","6호선","돌곶이","11441","10674","20241213"
"20241210","1호선","동대문","12236","11738","20241213"
"20241210","4호선","동대문","20830","21332","20241213"
"20241210","4호선","동대문역사문화공원(DDP)","19481","17690","20241213"
"20241210","2호선","동대문역사문화공원(DDP)","14779","17012","20241213"
"20241210","5호선","동대문역사문화공원(DDP)","3762","4287","20241213"
"20241210","3호선","동대입구","12429","13753","20241213"
"20241210","경원선","동두천","2365","2239","20241213"
"20241210","경원선","동두천중앙","3212","3034","20241213"
"20241210","1호선","동묘앞","8879","9041","20241213"
"20241210","6호선","동묘앞","8945","9165","20241213"
"20241210","경인선","동암","16028","15905","20241213"
"20241210","경인선","동인천","14129","13127","20241213"
"20241210","4호선","동작(현충원)","1519","1588","20241213"
"20241210","9호선","동작(현충원)","1799","1502","20241213"
"20241210","경부선","두정","7937","9180","20241213"
"20241210","5호선","둔촌동","10841","10701","20241213"
"20241210","9호선2~3단계","둔촌오륜","2040","2004","20241213"
"20241210","9호선","등촌","14164","13721","20241213"
"20241210","공항철도 1호선","디지털미디어시티","16394","15748","20241213"
"20241210","6호선","디지털미디어시티","18088","19772","20241213"
"20241210","경의선","디지털미디어시티","2949","2775","20241213"
"20241210","2호선","뚝섬","26674","28551","20241213"
"20241210","5호선","마곡","13538","13615","20241213"
"20241210","9호선","마곡나루(서울식물원)","16220","15818","20241213"
"20241210","공항철도 1호선","마곡나루(서울식물원)","13390","12938","20241213"
"20241210","일산선","마두","8746","8902","20241213"
"20241210","7호선","마들","15159","14539","20241213"
"20241210","경춘선","마석","3842","3785","20241213"
"20241210","5호선","마장","6801","6477","20241213"
"20241210","5호선","마천","8397","7621","20241213"
"20241210","5호선","마포","17637","18074","20241213"
"20241210","6호선","마포구청","17321","15927","20241213"
"20241210","중앙선","망우","7509","6985","20241213"
"20241210","6호선","망원","15858","16852","20241213"
"20241210","경원선","망월사","9528","9720","20241213"
"20241210","분당선","망포","16123","15193","20241213"
"20241210","분당선","매교","5530","5419","20241213"
"20241210","3호선","매봉","15131","14425","20241213"
"20241210","분당선","매탄권선","5731","5547","20241213"
"20241210","7호선","먹골","10996","11065","20241213"
"20241210","7호선","면목","17170","16173","20241213"
"20241210","4호선","명동","35704","37094","20241213"
"20241210","5호선","명일","9348","9344","20241213"
"20241210","경부선","명학","10496","10230","20241213"
"20241210","분당선","모란","20321","20697","20241213"
"20241210","8호선","모란","5447","4147","20241213"
"20241210","5호선","목동","18710","20125","20241213"
"20241210","8호선","몽촌토성(평화의문)","8406","8547","20241213"
"20241210","3호선","무악재","4823","4764","20241213"
"20241210","2호선","문래","26351","26914","20241213"
"20241210","경의선","문산","5251","5081","20241213"
"20241210","8호선","문정","26308","27506","20241213"
"20241210","분당선","미금","15848","16889","20241213"
"20241210","5호선","미사","20125","20296","20241213"
"20241210","4호선","미아(서울사이버대학)","17855","17261","20241213"
"20241210","4호선","미아사거리","29153","28790","20241213"
"20241210","안산선","반월","4683","4554","20241213"
"20241210","7호선","반포","7199","7010","20241213"
"20241210","5호선","발산","26988","27297","20241213"
"20241210","2호선","방배","20699","21359","20241213"
"20241210","5호선","방이","8486","8690","20241213"
"20241210","경원선","방학","10145","9772","20241213"
"20241210","5호선","방화","7719","7367","20241213"
"20241210","장항선","배방","1143","1139","20241213"
"20241210","경의선","백마","7444","7093","20241213"
"20241210","일산선","백석","11052","11196","20241213"
"20241210","경춘선","백양리","198","162","20241213"
"20241210","경인선","백운","7695","7555","20241213"
"20241210","6호선","버티고개","2543","2484","20241213"
"20241210","과천선","범계","30656","30201","20241213"
"20241210","경춘선","별내","2525","2295","20241213"
